,localminute,use
190,2018-01-02 23:44:00,14.169
191,2018-01-02 23:59:00,12.619000000000002
192,2018-01-03 00:14:00,11.495999999999999
193,2018-01-03 00:29:00,11.832
194,2018-01-03 00:44:00,13.243
195,2018-01-03 00:59:00,12.544
196,2018-01-03 01:14:00,11.362
197,2018-01-03 01:29:00,11.872
198,2018-01-03 01:44:00,13.812000000000001
199,2018-01-03 01:59:00,12.107000000000001
200,2018-01-03 02:14:00,12.361
201,2018-01-03 02:29:00,13.15
202,2018-01-03 02:44:00,11.564999999999998
203,2018-01-03 02:59:00,39.99900000000001
204,2018-01-03 03:14:00,13.356000000000002
205,2018-01-03 03:29:00,11.795
206,2018-01-03 03:44:00,11.653
207,2018-01-03 03:59:00,12.27
208,2018-01-03 04:14:00,13.319000000000004
209,2018-01-03 04:29:00,11.785
210,2018-01-03 04:44:00,11.698
211,2018-01-03 04:59:00,13.304999999999998
212,2018-01-03 05:14:00,14.007
213,2018-01-03 05:29:00,12.203
214,2018-01-03 05:44:00,12.696
215,2018-01-03 05:59:00,15.493
216,2018-01-03 06:14:00,15.317999999999998
217,2018-01-03 06:29:00,14.341
218,2018-01-03 06:44:00,17.324
219,2018-01-03 06:59:00,14.842
220,2018-01-03 07:14:00,17.034000000000002
221,2018-01-03 07:29:00,17.189999999999998
222,2018-01-03 07:44:00,16.354000000000006
223,2018-01-03 07:59:00,16.406999999999996
224,2018-01-03 08:14:00,44.102
225,2018-01-03 08:29:00,49.168
226,2018-01-03 08:44:00,15.556
227,2018-01-03 08:59:00,14.596999999999996
228,2018-01-03 09:14:00,15.537
229,2018-01-03 09:29:00,15.073000000000002
230,2018-01-03 09:44:00,13.405
231,2018-01-03 09:59:00,13.185000000000002
232,2018-01-03 10:14:00,14.597000000000001
233,2018-01-03 10:29:00,15.287999999999998
234,2018-01-03 10:44:00,16.17
235,2018-01-03 10:59:00,16.791
236,2018-01-03 11:14:00,16.325999999999997
237,2018-01-03 11:29:00,13.909
238,2018-01-03 11:44:00,12.130000000000004
239,2018-01-03 11:59:00,13.281
240,2018-01-03 12:14:00,12.619000000000002
241,2018-01-03 12:29:00,11.788000000000002
242,2018-01-03 12:44:00,12.962000000000005
243,2018-01-03 12:59:00,13.971999999999998
244,2018-01-03 13:14:00,12.737
245,2018-01-03 13:29:00,15.401
246,2018-01-03 13:44:00,14.521999999999998
247,2018-01-03 13:59:00,15.273
248,2018-01-03 14:14:00,13.405
249,2018-01-03 14:29:00,12.447000000000001
250,2018-01-03 14:44:00,14.309000000000005
251,2018-01-03 14:59:00,13.407000000000002
252,2018-01-03 15:14:00,12.293
253,2018-01-03 15:29:00,11.687999999999999
254,2018-01-03 15:44:00,10.829
255,2018-01-03 15:59:00,12.453000000000005
256,2018-01-03 16:14:00,12.227
257,2018-01-03 16:29:00,10.53
258,2018-01-03 16:44:00,11.528
259,2018-01-03 16:59:00,11.727999999999998
260,2018-01-03 17:14:00,13.226
261,2018-01-03 17:29:00,11.587
262,2018-01-03 17:44:00,12.688999999999998
263,2018-01-03 17:59:00,14.315999999999995
264,2018-01-03 18:14:00,16.262999999999998
265,2018-01-03 18:29:00,17.814
266,2018-01-03 18:44:00,14.804999999999998
267,2018-01-03 18:59:00,14.393999999999998
268,2018-01-03 19:14:00,25.368000000000002
269,2018-01-03 19:29:00,22.977999999999994
270,2018-01-03 19:44:00,17.080000000000005
271,2018-01-03 19:59:00,15.307999999999998
272,2018-01-03 20:14:00,22.070999999999994
273,2018-01-03 20:29:00,20.688
274,2018-01-03 20:44:00,16.471
275,2018-01-03 20:59:00,15.633
276,2018-01-03 21:14:00,15.454000000000002
277,2018-01-03 21:29:00,14.435
278,2018-01-03 21:44:00,14.336
279,2018-01-03 21:59:00,18.297
280,2018-01-03 22:14:00,18.227999999999998
281,2018-01-03 22:29:00,20.093
282,2018-01-03 22:44:00,18.299
