,use,var,jllable,localminute,
171,1.577809028,2.555319775,1,2018/6/22 6:29,5
172,1.781786806,2.642809557,1,2018/6/23 6:29,6
173,1.947066667,2.645847725,1,2018/6/24 6:29,7
174,1.829059722,2.800737813,1,2018/6/25 6:29,1
175,1.757868056,2.302234416,1,2018/6/26 6:29,2
176,1.379660417,1.816742362,0,2018/6/27 6:29,3
177,1.757506944,3.175223558,1,2018/6/28 6:29,4
178,1.595416667,1.746328138,0,2018/6/29 6:29,5
179,2.041782639,3.064292121,1,2018/6/30 6:29,6
180,1.462201389,1.461387192,0,2018/7/1 6:29,7
181,3.036240278,7.71115027,1,2018/7/2 6:29,1
182,1.929195833,3.153904554,1,2018/7/3 6:29,2
183,1.669391667,1.678507176,0,2018/7/4 6:29,3
184,1.784854861,2.590020364,1,2018/7/5 6:29,4
185,1.798988194,3.734007425,1,2018/7/6 6:29,5
186,1.97508125,2.57076654,1,2018/7/7 6:29,6
187,1.498371528,2.368100254,1,2018/7/8 6:29,7
188,2.481338889,6.199988333,1,2018/7/9 6:29,1
189,1.002190278,1.71981771,0,2018/7/10 6:29,2
190,1.559563194,3.015578546,1,2018/7/11 6:29,3
191,1.925825,4.947222716,1,2018/7/12 6:29,4
192,1.855525694,2.406856321,1,2018/7/13 6:29,5
193,1.713186806,2.440372597,1,2018/7/14 6:29,6
194,2.084840278,2.533077489,1,2018/7/15 6:29,7
195,2.182764583,3.818292508,1,2018/7/16 6:29,1
196,1.912584722,3.252636261,1,2018/7/17 6:29,2
197,1.896191667,3.856637186,1,2018/7/18 6:29,3
198,2.050092361,3.075844071,1,2018/7/19 6:29,4
199,2.477796528,4.443602342,1,2018/7/20 6:29,5
200,2.003835417,2.56346763,1,2018/7/21 6:29,6
201,1.896760417,1.636685102,0,2018/7/22 6:29,7
202,2.581375,4.367897756,1,2018/7/23 6:29,1
203,2.011394444,1.929860696,1,2018/7/24 6:29,2
204,1.761604167,1.788238637,1,2018/7/25 6:29,3
205,1.754552083,1.838289577,1,2018/7/26 6:29,4
206,1.64691875,1.619275974,0,2018/7/27 6:29,5
207,1.692745833,1.734864349,0,2018/7/28 6:29,6
208,1.924534722,1.619503275,0,2018/7/29 6:29,7
209,2.541315278,3.584933121,1,2018/7/30 6:29,1
210,1.758197917,1.618469917,0,2018/7/31 6:29,2
211,1.443223611,1.726307635,0,2018/8/1 6:29,3
212,1.535501389,1.907601112,1,2018/8/2 6:29,4
213,1.628095139,1.49805743,0,2018/8/3 6:29,5
214,2.372148611,3.279525658,1,2018/8/4 6:30,6
215,2.263806944,2.708414521,1,2018/8/5 6:30,7
216,2.140057639,1.803783351,1,2018/8/6 6:30,1
217,2.140723611,3.071998991,1,2018/8/7 6:30,2
218,1.852079167,2.726080643,1,2018/8/8 6:31,3
219,1.90898125,2.566285162,1,2018/8/9 6:31,4
220,2.028682639,2.162115814,1,2018/8/10 6:31,5
221,1.888460417,1.48603112,0,2018/8/11 6:31,6
222,2.428272917,3.253969455,1,2018/8/12 6:31,7
223,1.669223611,2.945392932,1,2018/8/13 6:31,1
224,2.344977083,2.426202526,1,2018/8/14 6:31,2
225,1.551127778,2.035728736,1,2018/8/15 6:31,3
226,1.64296875,2.195893596,1,2018/8/16 6:31,4
227,1.867034028,1.665201056,0,2018/8/17 6:31,5
228,2.018572917,2.54524618,1,2018/8/18 6:31,6
229,2.307281944,2.695218174,1,2018/8/19 6:31,7
230,2.105841667,1.820643766,1,2018/8/20 6:31,1
231,2.155889583,1.980100676,1,2018/8/21 6:31,2
232,2.461414583,2.473358045,1,2018/8/22 6:31,3
233,2.690614583,2.475233777,1,2018/8/23 6:31,4
234,2.060620139,1.913034941,1,2018/8/24 6:31,5
235,2.06694375,2.102168695,1,2018/8/25 6:31,6
236,2.362879167,3.159276058,1,2018/8/26 6:31,7
237,2.264831944,2.371274925,1,2018/8/27 6:31,1
238,2.567213889,1.85038298,1,2018/8/28 6:31,2
239,2.25290625,1.954955302,1,2018/8/29 6:31,3
240,2.485398611,1.964975139,1,2018/8/30 6:31,4
241,2.141229861,1.40119039,0,2018/8/31 6:31,5
242,2.30621875,2.535034006,1,2018/9/1 6:31,6
243,1.590646528,2.332416583,1,2018/9/2 6:31,7
244,1.239082639,0.804955284,0,2018/9/3 6:31,1
245,1.441575694,0.869611329,0,2018/9/4 6:31,2
246,1.532135417,1.109059997,0,2018/9/5 6:31,3
247,2.061484722,2.009823832,1,2018/9/6 6:31,4
248,1.852560417,1.540689925,0,2018/9/7 6:31,5
249,1.897252083,1.098684525,0,2018/9/8 6:31,6
250,1.70971875,1.165978094,0,2018/9/9 6:31,7
251,2.202558333,3.559059851,1,2018/9/10 6:31,1
252,1.261241667,0.874908133,0,2018/9/11 6:31,2
253,1.596554167,1.785677467,0,2018/9/12 6:31,3
254,1.517974306,1.541543274,0,2018/9/13 6:31,4
255,1.747470833,1.525048444,0,2018/9/14 6:31,5
256,1.37423125,1.072563147,0,2018/9/15 6:31,6
257,1.895206944,1.85571358,1,2018/9/16 6:31,7
258,2.111211806,2.940777871,1,2018/9/17 6:31,1
259,1.636857639,1.459619091,0,2018/9/18 6:31,2
260,1.753856944,1.530746758,0,2018/9/19 6:31,3
261,1.485666667,0.931800376,0,2018/9/20 6:31,4
262,1.844204167,1.831831169,1,2018/9/21 6:31,5
263,2.388139583,3.011071095,1,2018/9/22 6:31,6
264,1.421604167,0.893777415,0,2018/9/23 6:31,7
265,1.903122222,1.959865268,1,2018/9/24 6:31,1
266,1.569001389,1.411477839,0,2018/9/25 6:31,2
267,1.814269444,1.782535745,1,2018/9/26 6:31,3
268,1.456669444,1.220478229,0,2018/9/27 6:31,4
269,1.057638889,0.58337331,0,2018/9/28 6:31,5
270,2.003431944,1.742157662,1,2018/9/29 6:31,6
271,1.770121528,1.490674889,0,2018/9/30 6:31,7
272,2.019647917,3.112425647,1,2018/10/1 6:31,1
273,1.707180556,1.949802586,1,2018/10/2 6:31,2
274,1.589704861,1.387644128,0,2018/10/3 6:31,3
275,1.661331944,1.570262012,0,2018/10/4 6:31,4
276,1.72688125,1.382903001,0,2018/10/5 6:31,5
277,1.926840278,1.156506969,0,2018/10/6 6:31,6
278,1.793052083,1.109829519,0,2018/10/7 6:31,7
279,2.18494375,3.143284505,1,2018/10/8 6:31,1
280,1.944146528,1.947288273,1,2018/10/9 6:31,2
281,1.249393056,0.746819802,0,2018/10/10 6:31,3
282,1.287215972,0.975634266,0,2018/10/11 6:31,4
283,0.987049306,0.358500118,0,2018/10/12 6:31,5
284,1.429561806,1.293253722,0,2018/10/13 6:31,6
285,1.575069444,1.005955967,0,2018/10/14 6:31,7
286,1.937691667,2.668273584,1,2018/10/15 6:31,1
287,0.820828472,0.082823431,0,2018/10/16 6:31,2
288,0.992990972,0.569418183,0,2018/10/17 6:31,3
289,0.990401389,0.193080142,0,2018/10/18 6:31,4
290,0.865438194,0.124430428,0,2018/10/19 6:31,5
291,1.546836806,1.634878631,0,2018/10/20 6:31,6
292,0.942708333,0.78455603,0,2018/10/21 6:31,7
293,0.858243056,0.236621767,0,2018/10/22 6:31,1
294,1.096628472,0.49276638,0,2018/10/23 6:31,2
295,1.201338194,0.634960888,0,2018/10/24 6:31,3
296,0.957057639,0.089328619,0,2018/10/25 6:31,4
297,0.897845833,0.057252421,0,2018/10/26 6:31,5
298,1.342002083,1.249333868,0,2018/10/27 6:31,6
299,1.278624306,0.601200997,0,2018/10/28 6:31,7
300,2.047429167,3.003384321,1,2018/10/29 6:31,1
301,1.357343056,0.588268129,0,2018/10/30 6:31,2
302,1.6350125,1.265279328,0,2018/10/31 6:31,3
303,1.312422917,0.838572181,0,2018/11/1 6:31,4
304,1.331134028,1.053867165,0,2018/11/2 6:31,5
305,1.117129167,0.499105521,0,2018/11/3 6:31,6
306,1.016150694,0.173231444,0,2018/11/4 6:31,7
307,1.34754375,1.710500199,0,2018/11/5 6:31,1
308,1.741840278,1.518313412,0,2018/11/6 6:31,2
309,1.148250694,0.746682084,0,2018/11/7 6:31,3
310,1.289214583,1.225557574,0,2018/11/8 6:31,4
311,1.341073611,1.282776103,0,2018/11/9 6:31,5
312,1.29086875,0.761508801,0,2018/11/10 6:31,6
313,2.159794444,2.918165418,1,2018/11/11 6:31,7
314,1.484071528,1.249194608,0,2018/11/12 6:31,1
315,1.247797222,1.039289226,0,2018/11/13 6:31,2
316,1.285870139,1.123758598,0,2018/11/14 6:31,3
317,1.233927778,1.156816443,0,2018/11/15 6:31,4
318,1.091363194,0.888372415,0,2018/11/16 6:31,5
319,1.20060625,1.128925398,0,2018/11/17 9:37,6
320,1.250627083,0.963907679,0,2018/11/18 9:37,7
321,1.964688889,3.631098903,1,2018/11/19 9:37,1
322,1.385922222,1.351755295,0,2018/11/20 9:37,2
323,1.154704167,0.816087928,0,2018/11/21 9:37,3
324,0.738511806,0.025493415,0,2018/11/22 9:37,4
325,0.718845139,0.006561212,0,2018/11/23 9:37,5
326,0.691297222,0.026956965,0,2018/11/24 9:37,6
327,0.783360417,0.030260794,0,2018/11/25 9:37,7
328,1.763066667,2.402749761,1,2018/11/26 9:37,1
329,1.189699306,0.520206883,0,2018/11/27 9:37,2
330,0.956459722,0.308543838,0,2018/11/28 9:37,3
331,1.791834722,1.598138294,0,2018/11/29 9:37,4
332,0.933503472,0.213237128,0,2018/11/30 9:37,5
333,1.007090278,0.585722235,0,2018/12/1 9:37,6
334,1.441173611,1.584295151,0,2018/12/2 9:37,7
335,1.617672222,2.33074898,1,2018/12/3 9:37,1
336,1.486715278,2.56695512,1,2018/12/4 9:37,2
337,1.332532639,1.079048857,0,2018/12/5 9:37,3
338,1.259265278,1.284218563,0,2018/12/6 9:37,4
339,1.464547917,1.039846351,0,2018/12/7 9:37,5
340,1.202254167,1.002724814,0,2018/12/8 9:37,6
341,1.318963889,0.688479939,0,2018/12/9 9:37,7
342,1.486125,1.766159643,0,2018/12/10 9:37,1
343,0.977900694,0.102725881,0,2018/12/11 9:37,2
344,1.615745833,1.648167822,0,2018/12/12 9:37,3
345,1.125595139,0.144048591,0,2018/12/13 9:37,4
346,1.24140625,0.220839826,0,2018/12/14 9:37,5
347,1.832029167,2.346998492,1,2018/12/15 9:37,6
348,1.760814583,1.859625599,1,2018/12/16 9:37,7
349,1.79209375,2.146488819,1,2018/12/17 9:37,1
350,1.110920139,0.912798675,0,2018/12/18 9:37,2
351,1.156218056,0.849763781,0,2018/12/19 9:37,3
352,1.195694444,0.865393925,0,2018/12/20 9:37,4
353,1.413279861,1.915923533,0,2018/12/21 9:37,5
354,1.385615972,1.32477367,0,2018/12/22 9:37,6
355,2.348219444,2.753374876,1,2018/12/23 9:37,7
356,1.513780556,0.969927944,0,2018/12/24 9:37,1
357,1.376976389,0.251274407,0,2018/12/25 9:37,2
358,1.106086111,0.323523831,0,2018/12/26 9:37,3
359,1.2932875,0.187952085,0,2018/12/27 9:37,4
360,0.963678472,0.13316363,0,2018/12/28 9:37,5
361,1.580468056,1.689760665,0,2018/12/29 9:37,6
362,1.081726389,0.256734935,0,2018/12/30 9:37,7
363,1.062073611,0.251918035,0,2018/12/31 9:37,1
